Time,b,c,d,Direction,f,PM1.0,PM2.5,PM10.0,0.3μm,0.5μm,1.0μm,2.5μm,5.0μm,10.0μm,p
2020-12-08T12:03:02.868654, 52.5498416667, 13.372655, 2christianWall, o, 0, 29, 47, 47, 9327, 2672, 556, 18, 0, 0, 1919 
2020-12-08T12:03:03.868215, 52.5498666667, 13.3726983333, 2christianWall, o, 0, 30, 50, 50, 9545, 2830, 578, 14, 0, 0, 1919 
2020-12-08T12:03:04.879451, 52.549985, 13.3728016667, 2christianWall, o, 0, 30, 51, 51, 9745, 2856, 590, 17, 0, 0, 1919 
2020-12-08T12:03:05.892729, 52.5500283333, 13.3728083333, 2christianWall, o, 0, 30, 51, 51, 9745, 2856, 590, 17, 0, 0, 1919 
2020-12-08T12:03:06.903448, 52.5499716667, 13.3728133333, 2christianWall, o, 0, 30, 53, 56, 9569, 2848, 602, 30, 0, 0, 1919 
2020-12-08T12:03:07.916257, 52.55002, 13.3728683333, 2christianWall, o, 0, 30, 53, 56, 9569, 2848, 602, 30, 0, 0, 1919 
2020-12-08T12:03:08.933256, 52.5499133333, 13.37281, 2christianWall, o, 0, 30, 54, 57, 9491, 2824, 608, 37, 0, 0, 1919 
2020-12-08T12:03:09.967209, 52.5499166667, 13.3728683333, 2christianWall, w, 0, 30, 54, 57, 9491, 2824, 608, 37, 0, 0, 1919 
2020-12-08T12:03:10.971643, 52.5498866667, 13.3728666667, 2christianWall, w, 0, 29, 53, 55, 9046, 2646, 606, 37, 0, 0, 1919 
2020-12-08T12:03:11.977123, 52.5498633333, 13.3728533333, 2christianWall, w, 0, 29, 53, 55, 9046, 2646, 606, 37, 0, 0, 1919 
2020-12-08T12:03:12.986938, 52.549795, 13.3728116667, 2christianWall, w, 0, 29, 50, 54, 9022, 2634, 574, 34, 0, 0, 1919 
2020-12-08T12:03:14.010017, 52.5498116667, 13.3728116667, 2christianWall, w, 0, 29, 50, 54, 9022, 2634, 574, 34, 0, 0, 1919 
2020-12-08T12:03:15.029652, 52.549765, 13.3728, 2christianWall, w, 0, 28, 50, 54, 8980, 2626, 572, 37, 0, 0, 1919 
2020-12-08T12:03:16.052400, 52.5496816667, 13.3728266667, 2christianWall, w, 0, 28, 50, 53, 8980, 2626, 572, 37, 0, 0, 1919 
2020-12-08T12:03:17.095031, 52.5495766667, 13.3728616667, 2christianWall, n, 0.0054012754969169, 29, 51, 54, 9216, 2654, 580, 37, 0, 0, 1919 
2020-12-08T12:03:18.102168, 52.549495, 13.3728816667, 4homepulse, n, 0.0054012754969169, 29, 51, 54, 9216, 2654, 580, 37, 0, 0, 1919 
2020-12-08T12:05:31.160629, 52.5489616667, 13.36879, 3cobbleGroove2, w, 0.040524726893606, 29, 51, 54, 9270, 2680, 584, 31, 0, 0, 1919 
2020-12-08T12:05:32.179539, 52.5489466667, 13.3686283333, 3cobbleGroove2, w, 0.040524726893606, 29, 51, 54, 9270, 2680, 584, 31, 0, 0, 1919 
2020-12-08T12:05:33.190106, 52.5489916667, 13.368665, 3cobbleGroove2, w, 0.040524726893606, 29, 50, 54, 9294, 2816, 570, 31, 1, 1, 1919 
2020-12-08T12:05:34.202510, 52.5490733333, 13.3688283333, 3cobbleGroove2, w, 0.040524726893606, 29, 50, 54, 9294, 2816, 570, 31, 1, 1, 1919 
2020-12-08T12:05:35.214768, 52.549115, 13.36886, 3cobbleGroove2, w, 0.040524726893606, 28, 47, 51, 9046, 2648, 552, 28, 1, 1, 1919 
2020-12-08T12:05:36.227053, 52.54914, 13.368835, 3cobbleGroove2, w, 0.040524726893606, 28, 47, 51, 9046, 2648, 552, 28, 1, 1, 1919 
2020-12-08T12:05:37.239512, 52.549165, 13.36881, 3cobbleGroove2, w, 0.040524726893606, 28, 46, 50, 8992, 2622, 540, 26, 1, 1, 1919 
2020-12-08T12:05:38.258609, 52.5491916667, 13.3687916667, 3cobbleGroove2, w, 0.040524726893606, 28, 46, 50, 8992, 2622, 540, 26, 1, 1, 1919 
2020-12-08T12:05:39.295429, 52.54922, 13.36878, 3cobbleGroove2, s, 0.0041047741562714, 28, 45, 48, 9070, 2636, 524, 16, 2, 2, 1919 
2020-12-08T12:05:40.315415, 52.5492483333, 13.3687666667, 3cobbleGroove2, s, 0.0041047741562714, 28, 45, 48, 9070, 2636, 524, 16, 2, 2, 1919 
2020-12-08T12:05:41.330282, 52.549275, 13.3687533333, 3cobbleGroove2, s, 0.0041047741562714, 28, 42, 45, 9070, 2632, 520, 10, 2, 2, 1919 
2020-12-08T12:05:42.345821, 52.5493016667, 13.3687383333, 3cobbleGroove2, s, 0.0041047741562714, 28, 42, 45, 9070, 2632, 520, 10, 2, 2, 1919 
2020-12-08T12:05:43.361649, 52.54933, 13.3687266667, 3cobbleGroove2, s, 0.0041047741562714, 28, 42, 46, 9082, 2634, 512, 11, 3, 2, 1919 
2020-12-08T12:05:44.382298, 52.5493566667, 13.3687133333, 3cobbleGroove2, s, 0.0041047741562714, 28, 42, 46, 9082, 2634, 512, 11, 3, 2, 1919 
2020-12-08T12:05:45.398880, 52.5493816667, 13.3686966667, 3cobbleGroove2, s, 0.0041047741562714, 28, 44, 48, 9082, 2638, 534, 12, 4, 3, 1919 
2020-12-08T12:05:46.415664, 52.54941, 13.36868, 3cobbleGroove2, s, 0.0041047741562714, 28, 44, 48, 9082, 2638, 534, 12, 4, 3, 1919 
2020-12-08T12:05:47.446279, 52.5494366667, 13.3686633333, 3cobbleGroove2, sw, 0.0036215606315985, 29, 45, 49, 9270, 2658, 536, 10, 5, 3, 1919 
2020-12-08T12:05:48.463657, 52.5494616667, 13.3686366667, 3cobbleGroove2, sw, 0.0036215606315985, 28, 44, 49, 9270, 2658, 536, 10, 5, 3, 1919 
2020-12-08T12:05:49.480441, 52.549465, 13.3686066667, 3cobbleGroove2, sw, 0.0036215606315985, 29, 43, 49, 9246, 2664, 528, 11, 5, 3, 1919 
2020-12-08T12:05:50.497617, 52.5494833333, 13.3685083333, 3cobbleGroove2, sw, 0.0036215606315985, 29, 43, 49, 9246, 2664, 528, 11, 5, 3, 1919 
2020-12-08T12:05:51.514137, 52.5495083333, 13.36848, 3cobbleGroove2, sw, 0.0036215606315985, 28, 42, 47, 9022, 2630, 382, 10, 5, 3, 1919 
2020-12-08T12:05:52.531461, 52.54953, 13.36843, 3cobbleGroove2, sw, 0.0036215606315985, 29, 43, 47, 9022, 2630, 382, 10, 5, 3, 1919 
2020-12-08T12:05:53.548686, 52.5495533333, 13.36836, 3cobbleGroove2, sw, 0.0036215606315985, 29, 42, 48, 8798, 2608, 514, 14, 5, 3, 1919 
2020-12-08T12:05:54.566256, 52.5495783333, 13.3683266667, 3cobbleGroove2, sw, 0.0036215606315985, 29, 42, 48, 8798, 2608, 514, 14, 5, 3, 1919 
